,Hostname,Stage Name,Artist,Timeslot,Date,Year,Day,Weekend,Genre
2313,GOOSE DJ's & FRIENDS,The Rave Cave,John Noseda,21:15 - 22:30,21 July,2019,Sunday,Weekend 1,Unknown
2314,GOOSE DJ's & FRIENDS,The Rave Cave,LXNGTN,22:30 - 00:00,21 July,2019,Sunday,Weekend 1,Unknown
2315,Masquerade,The Rose Garden,Two Pauz,12:30 - 14:00,21 July,2019,Sunday,Weekend 1,Unknown
2316,Masquerade,The Rose Garden,Siege,14:00 - 15:00,21 July,2019,Sunday,Weekend 1,"House, Techno"
2317,Masquerade,The Rose Garden,Lars Moston,15:00 - 16:30,21 July,2019,Sunday,Weekend 1,Commercial Dance
2318,Masquerade,The Rose Garden,Riva Starr,16:30 - 18:00,21 July,2019,Sunday,Weekend 1,Tech House
2319,Masquerade,The Rose Garden,Tensnake,18:00 - 19:30,21 July,2019,Sunday,Weekend 1,Disco House
2320,Masquerade,The Rose Garden,Purple Disco Machine,19:30 - 21:00,21 July,2019,Sunday,Weekend 1,"Deep House, Funk House, Disco House"
2321,Masquerade,The Rose Garden,Claptone,21:00 - 22:30,21 July,2019,Sunday,Weekend 1,"Electro House, Tech House, Techno, Traditional House"
2322,Masquerade,The Rose Garden,Sonny Fodera,22:30 - 00:00,21 July,2019,Sunday,Weekend 1,Traditional House
2323,Nervo Nation,Youphoria,Myma,12:30 - 14:00,21 July,2019,Sunday,Weekend 1,Unknown
2324,Nervo Nation,Youphoria,Sem Thomasson,14:00 - 15:00,21 July,2019,Sunday,Weekend 1,Progressive House
2325,Q-Dance presents: Sunday Funday,Q-Dance Stage,MANDY,17:00 - 18:00,21 July,2019,Sunday,Weekend 1,Hard Dance
2326,Nervo Nation,Youphoria,Mike Williams,16:00 - 17:00,21 July,2019,Sunday,Weekend 1,"Commercial Dance, Drum & Bass, Electronica, Progressive House, Traditional House"
2327,Nervo Nation,Youphoria,Danny Avila,17:00 - 18:00,21 July,2019,Sunday,Weekend 1,Electro House
2328,Nervo Nation,Youphoria,Sofi Tukker,18:00 - 19:00,21 July,2019,Sunday,Weekend 1,Commercial Dance
2329,Nervo Nation,Youphoria,Tinie Tempah,20:00 - 21:00,21 July,2019,Sunday,Weekend 1,Unknown
2330,Nervo Nation,Youphoria,Nervo,21:00 - 22:00,21 July,2019,Sunday,Weekend 1,"Electro House, Progressive House"
2331,Nervo Nation,Youphoria,Dannic b2b Sem Vox,22:00 - 23:00,21 July,2019,Sunday,Weekend 1,Unknown
2332,Nervo Nation,Youphoria,Eastblock Bitches b2b Firebeatz,23:00 - 23:50,21 July,2019,Sunday,Weekend 1,Unknown
2333,The Gathering,The Gathering,W&W,00:15 - 01:00,25 July,2019,Thursday,Weekend 2,Trance
2334,The Gathering,The Gathering,Shiver,13:00 - 14:00,25 July,2019,Thursday,Weekend 2,"Progressive House, Trance"
2335,The Gathering,The Gathering,Odssey,14:00 - 15:00,25 July,2019,Thursday,Weekend 2,Deep House
2336,The Gathering,The Gathering,Jeroen Delodder,15:00 - 15:45,25 July,2019,Thursday,Weekend 2,"Electronic, Dance, House"
2337,The Gathering,The Gathering,Prinz,15:45 - 16:30,25 July,2019,Thursday,Weekend 2,Techno
2338,The Gathering,The Gathering,Michael Amani,16:30 - 17:15,25 July,2019,Thursday,Weekend 2,"House, Techno"
2339,The Gathering,The Gathering,Curtis Alto,17:15 - 18:00,25 July,2019,Thursday,Weekend 2,Unknown
2340,The Gathering,The Gathering,Mystique B2B Makaso,18:00 - 18:45,25 July,2019,Thursday,Weekend 2,Unknown
2341,The Gathering,The Gathering,DJ Licious,18:45 - 19:30,25 July,2019,Thursday,Weekend 2,House
2342,The Gathering,The Gathering,Yves Deruyter,19:30 - 20:30,25 July,2019,Thursday,Weekend 2,Trance
2343,The Gathering,The Gathering,MANDY,20:30 - 21:15,25 July,2019,Thursday,Weekend 2,Hard Dance
2344,The Gathering,The Gathering,Robert Falcon,21:15 - 22:00,25 July,2019,Thursday,Weekend 2,Unknown
2345,The Gathering,The Gathering,Netsky,22:00 - 22:45,25 July,2019,Thursday,Weekend 2,Drum & Bass
2346,The Gathering,The Gathering,Regi vs Yves V,22:45 - 23:30,25 July,2019,Thursday,Weekend 2,Unknown
2347,The Gathering,The Gathering,Sunnery James & Ryan Marciano,23:30 - 00:15,25 July,2019,Thursday,Weekend 2,Electro House
2348,Carl Cox invites Space Ibiza,Atmosphere,Joyhauser,12:30 - 14:00,26 July,2019,Friday,Weekend 2,"Commercial Dance, Electronica, Techno, Trance"
2349,Carl Cox invites Space Ibiza,Atmosphere,UNER,14:00 - 15:30,26 July,2019,Friday,Weekend 2,Tech House
2350,Nervo Nation,Youphoria,Throttle,15:00 - 16:00,21 July,2019,Sunday,Weekend 1,"Commercial Dance, Electronica"
2351,Carl Cox invites Space Ibiza,Atmosphere,Monika Kruse,17:00 - 19:00,26 July,2019,Friday,Weekend 2,"Tech House, Techno"
2352,Carl Cox invites Space Ibiza,Atmosphere,Amelie Lens,19:00 - 21:00,26 July,2019,Friday,Weekend 2,"Electronica, Techno, Trance"
2353,Carl Cox invites Space Ibiza,Atmosphere,Pan-Pot,21:00 - 23:00,26 July,2019,Friday,Weekend 2,"Minimal, Techno"
2354,Carl Cox invites Space Ibiza,Atmosphere,Carl Cox,23:00 - 01:00,26 July,2019,Friday,Weekend 2,"Tech House, Techno"
2355,Onraad,Cage,Double U Jay,13:00 - 14:30,26 July,2019,Friday,Weekend 2,Unknown
2356,Onraad,Cage,TWR72,14:30 - 16:00,26 July,2019,Friday,Weekend 2,Unknown
2357,Onraad,Cage,PTTRN,16:00 - 17:30,26 July,2019,Friday,Weekend 2,Unknown
2358,Onraad,Cage,Himperson,17:30 - 19:00,26 July,2019,Friday,Weekend 2,Electronic
2359,Onraad,Cage,Gary Beck,19:00 - 20:30,26 July,2019,Friday,Weekend 2,"Tech House, Techno"
2360,Onraad,Cage,O/V/R,20:30 - 22:30,26 July,2019,Friday,Weekend 2,Unknown
2361,Onraad,Cage,Lewis Fautzi,22:30 - 00:00,26 July,2019,Friday,Weekend 2,"Techno, Tech House, Deep House"
2362,Sirkus,Casa Corona,Pudde b2b Simon Dobbs,12:30 - 14:30,26 July,2019,Friday,Weekend 2,Unknown
2363,Sirkus,Casa Corona,Michael Sanchez,14:30 - 15:30,26 July,2019,Friday,Weekend 2,Unknown
2364,Sirkus,Casa Corona,Nader Razdar,15:30 - 16:30,26 July,2019,Friday,Weekend 2,Unknown
2365,Sirkus,Casa Corona,Artslaves,16:30 - 18:00,26 July,2019,Friday,Weekend 2,Unknown
2366,Sirkus,Casa Corona,Tini Gessler b2b Toni Varga,18:00 - 19:30,26 July,2019,Friday,Weekend 2,Unknown
2367,Sirkus,Casa Corona,Nukov & Yelmet,19:30 - 21:00,26 July,2019,Friday,Weekend 2,Unknown
