,Hostname,Stage Name,Artist,Timeslot,Date,Year,Day,Weekend,Genre
0,The Gathering,The Gathering,DJ Kaspa,13:30 - 14:15,20 July,2023,Thursday,Weekend 1,Techno
1,The Gathering,The Gathering,Donelly,14:15 - 15:00,20 July,2023,Thursday,Weekend 1,Pop
2,The Gathering,The Gathering,Livado,15:00 - 15:45,20 July,2023,Thursday,Weekend 1,House
3,The Gathering,The Gathering,Laura Hoogland,15:45 - 16:30,20 July,2023,Thursday,Weekend 1,Trance
4,The Gathering,The Gathering,Prinz,16:30 - 17:15,20 July,2023,Thursday,Weekend 1,Techno
5,The Gathering,The Gathering,Amari,17:15 - 18:00,20 July,2023,Thursday,Weekend 1,House
6,The Gathering,The Gathering,Emilija,18:00 - 18:45,20 July,2023,Thursday,Weekend 1,Techno
7,The Gathering,The Gathering,Makasi,18:45 - 19:30,20 July,2023,Thursday,Weekend 1,House
8,The Gathering,The Gathering,Maxim Lany,19:30 - 20:15,20 July,2023,Thursday,Weekend 1,"House, Deep House"
9,The Gathering,The Gathering,USED,20:15 - 21:00,20 July,2023,Thursday,Weekend 1,"Hardstyle, Rawstyle"
10,The Gathering,The Gathering,Amber Broos,21:00 - 21:45,20 July,2023,Thursday,Weekend 1,Techno
11,The Gathering,The Gathering,Alok,21:45 - 22:30,20 July,2023,Thursday,Weekend 1,Commercial Dance
12,The Gathering,The Gathering,Dimitri Vegas & Like Mike,22:30 - 23:15,20 July,2023,Thursday,Weekend 1,Commercial Dance
13,The Gathering,The Gathering,Sub Zero Project,23:15 - 00:00,20 July,2023,Thursday,Weekend 1,Commercial Dance
14,Drumcode,Atmosphere,SHDDR,12:00 - 14:00,21 July,2023,Friday,Weekend 1,"Electronic, Techno"
15,Drumcode,Atmosphere,Carmen Lisa,14:00 - 16:00,21 July,2023,Friday,Weekend 1,"Pop, R&B"
16,Drumcode,Atmosphere,Juliet Fox,16:00 - 18:00,21 July,2023,Friday,Weekend 1,Tech House
17,Drumcode,Atmosphere,Eli Brown,18:00 - 19:30,21 July,2023,Friday,Weekend 1,"Commercial Dance, Electronica, Tech House, Traditional House"
18,Drumcode,Atmosphere,HI-LO b2b Layton Giordani,19:30 - 21:30,21 July,2023,Friday,Weekend 1,Techno
19,Drumcode,Atmosphere,Joris Voorn,21:30 - 23:00,21 July,2023,Friday,Weekend 1,"Tech House, Techno"
20,Drumcode,Atmosphere,Adam Beyer,23:00 - 01:00,21 July,2023,Friday,Weekend 1,Techno
21,Cage,Cage,Wanton,12:00 - 14:00,21 July,2023,Friday,Weekend 1,Electronic
22,Cage,Cage,Jan Vercauteren,14:00 - 16:00,21 July,2023,Friday,Weekend 1,"Electronic, House, Techno"
23,Cage,Cage,Patrick Mason,16:00 - 18:00,21 July,2023,Friday,Weekend 1,"Trance, Progressive House"
24,Cage,Cage,Cera Khin,18:00 - 19:30,21 July,2023,Friday,Weekend 1,"Techno, Electro"
25,The Gathering,The Gathering,DJ Kaspa,13:30 - 14:15,20 July,2023,Thursday,Weekend 1,Techno
26,Cage,Cage,Paula Temple,21:00 - 23:00,21 July,2023,Friday,Weekend 1,"Electronica, Techno"
27,Core,CORE,Asian Sal,12:30 - 14:30,21 July,2023,Friday,Weekend 1,"Hip-Hop, Rap"
28,Core,CORE,Ava Eva,14:30 - 16:00,21 July,2023,Friday,Weekend 1,Techno
29,Core,CORE,Chloé Caillet,16:00 - 17:30,21 July,2023,Friday,Weekend 1,"Electronic, House"
30,Core,CORE,Dino Lenny,17:30 - 19:00,21 July,2023,Friday,Weekend 1,"Commercial Dance, Electronica, Progressive House, Techno, Traditional House"
31,Core,CORE,Krystal Klear,19:00 - 21:00,21 July,2023,Friday,Weekend 1,"Tech House, Traditional House"
32,Core,CORE,Folamour,21:00 - 23:00,21 July,2023,Friday,Weekend 1,"House, Disco"
33,Core,CORE,Special Request,23:00 - 01:00,21 July,2023,Friday,Weekend 1,Commercial Dance
34,Crystal Garden,Crystal Garden,D&W,12:00 - 13:30,21 July,2023,Friday,Weekend 1,"Techno, Acid Techno"
35,Crystal Garden,Crystal Garden,Tom & Collins,13:30 - 15:00,21 July,2023,Friday,Weekend 1,"Electronica, Tech House, Traditional House"
36,Crystal Garden,Crystal Garden,HoneyLuv,15:00 - 16:00,21 July,2023,Friday,Weekend 1,"House, Electro House"
37,Crystal Garden,Crystal Garden,Matt Guy,16:00 - 17:30,21 July,2023,Friday,Weekend 1,"House, Techno"
38,Crystal Garden,Crystal Garden,LP Giobbi,17:30 - 19:00,21 July,2023,Friday,Weekend 1,House
39,Crystal Garden,Crystal Garden,LF System,19:00 - 20:30,21 July,2023,Friday,Weekend 1,"House, Tech House"
40,Crystal Garden,Crystal Garden,Solardo,20:30 - 22:00,21 July,2023,Friday,Weekend 1,"Electro House, Tech House, Traditional House"
41,Crystal Garden,Crystal Garden,Purple Disco Machine,22:00 - 00:00,21 July,2023,Friday,Weekend 1,"Deep House, Funk House, Disco House"
42,The Mangrove,Elixir,Milinguap,13:00 - 14:30,21 July,2023,Friday,Weekend 1,Techno
43,The Mangrove,Elixir,Soul Shakers,14:30 - 16:00,21 July,2023,Friday,Weekend 1,"House, Disco"
44,The Mangrove,Elixir,BAVR,16:00 - 17:30,21 July,2023,Friday,Weekend 1,"Hardstyle, Rawstyle"
45,The Mangrove,Elixir,Flo Windey ft. Skyve,17:30 - 18:30,21 July,2023,Friday,Weekend 1,"Techno, House"
46,The Mangrove,Elixir,MagiK,18:30 - 19:30,21 July,2023,Friday,Weekend 1,"Trance, Psy-Trance"
47,The Mangrove,Elixir,Hyalyte,19:30 - 20:30,21 July,2023,Friday,Weekend 1,"Dubstep, Bass Music"
48,The Mangrove,Elixir,DJ NC,20:30 - 22:00,21 July,2023,Friday,Weekend 1,"House, Techno"
49,The Mangrove,Elixir,Kamal Bankay,22:00 - 23:30,21 July,2023,Friday,Weekend 1,Unknown
50,Cage,Cage,SPFDJ,19:30 - 21:00,21 July,2023,Friday,Weekend 1,Techno
51,Freedom by Budweiser,Freedom,Maxi Meraki,12:00 - 13:30,21 July,2023,Friday,Weekend 1,"Electronic, House, Techno"
52,Freedom by Budweiser,Freedom,Mooglie,13:30 - 15:00,21 July,2023,Friday,Weekend 1,"House, Techno"
53,Freedom by Budweiser,Freedom,Mau P,15:00 - 16:30,21 July,2023,Friday,Weekend 1,"Hip-Hop, Rap"
54,Freedom by Budweiser,Freedom,Agents Of Time (Live),16:30 - 18:00,21 July,2023,Friday,Weekend 1,Techno
55,Freedom by Budweiser,Freedom,Meduza,18:00 - 19:30,21 July,2023,Friday,Weekend 1,House
56,Freedom by Budweiser,Freedom,Mathame,19:30 - 21:00,21 July,2023,Friday,Weekend 1,Techno
57,Freedom by Budweiser,Freedom,Kölsch,21:00 - 23:00,21 July,2023,Friday,Weekend 1,Commercial Dance
58,Freedom by Budweiser,Freedom,Eric Prydz presents HOLO,23:00 - 00:30,21 July,2023,Friday,Weekend 1,"Progressive House, Techno"
59,Mainstage,Mainstage,Daybreak session: Claptone,12:00 - 14:30,21 July,2023,Friday,Weekend 1,"House, Deep House, Tech House"
60,Mainstage,Mainstage,Anfisa Letyago,14:30 - 15:30,21 July,2023,Friday,Weekend 1,Techno
61,Mainstage,Mainstage,Andromedik,15:30 - 16:30,21 July,2023,Friday,Weekend 1,Drum & Bass
62,Mainstage,Mainstage,Henri PFR,16:30 - 17:30,21 July,2023,Friday,Weekend 1,"Commercial Dance, Electronica, Traditional House"
63,Mainstage,Mainstage,MATTN,17:35 - 18:35,21 July,2023,Friday,Weekend 1,"Commercial Dance, Traditional House"
64,Mainstage,Mainstage,Vini Vici,18:40 - 19:40,21 July,2023,Friday,Weekend 1,"Psychedelic Trance, Trance"
65,Mainstage,Mainstage,Amelie Lens,19:40 - 20:40,21 July,2023,Friday,Weekend 1,"Electronica, Techno, Trance"
66,Mainstage,Mainstage,Sunnery James & Ryan Marciano,20:40 - 21:40,21 July,2023,Friday,Weekend 1,Electro House
67,Mainstage,Mainstage,Steve Angello,21:45 - 22:45,21 July,2023,Friday,Weekend 1,Progressive House
68,Mainstage,Mainstage,The Chainsmokers,22:50 - 23:50,21 July,2023,Friday,Weekend 1,Commercial Dance
69,Mainstage,Mainstage,Tiësto,23:50 - 00:50,21 July,2023,Friday,Weekend 1,"Commercial Dance, Big Room"
70,Moosebar,Moosebar,Jelle DK,12:00 - 16:00,21 July,2023,Friday,Weekend 1,"Electronic, Dance, House"
71,Moosebar,Moosebar,Michael More,16:00 - 19:00,21 July,2023,Friday,Weekend 1,"Electronic, Dance, House"
72,Moosebar,Moosebar,Partyfriex,19:00 - 20:00,21 July,2023,Friday,Weekend 1,"Dance, Pop"
73,Moosebar,Moosebar,F.R.A.N.K,20:00 - 00:00,21 July,2023,Friday,Weekend 1,"Dance, Pop"
74,Rise,Rise,DJ Daan,12:30 - 14:00,21 July,2023,Friday,Weekend 1,Commercial Dance
75,The Mangrove,Elixir,Audiowave,23:30 - 01:00,21 July,2023,Friday,Weekend 1,"Trance, Psy-Trance"
76,Rise,Rise,Lucca van Damme,15:00 - 16:00,21 July,2023,Friday,Weekend 1,Commercial Dance
77,Rise,Rise,Varoc,16:00 - 17:00,21 July,2023,Friday,Weekend 1,Commercial Dance
78,Rise,Rise,Nils Hoffmann,17:00 - 18:00,21 July,2023,Friday,Weekend 1,"House, Techno"
79,Rise,Rise,Nora En Pure,18:00 - 19:30,21 July,2023,Friday,Weekend 1,Commercial Dance
80,Rise,Rise,NTO,19:30 - 21:00,21 July,2023,Friday,Weekend 1,"Electronic, Techno"
81,Rise,Rise,Franky Wah,21:00 - 22:30,21 July,2023,Friday,Weekend 1,"House, Techno"
82,Rise,Rise,Marsh,22:00 - 00:00,21 July,2023,Friday,Weekend 1,"Deep House, Progressive House"
83,Terra Solis,Terra Solis,Kap's,12:00 - 13:30,21 July,2023,Friday,Weekend 1,"Electronic, House, Techno"
84,Terra Solis,Terra Solis,Mosoo,13:30 - 15:00,21 July,2023,Friday,Weekend 1,Electronic
85,Terra Solis,Terra Solis,Dorian Craft,15:00 - 16:30,21 July,2023,Friday,Weekend 1,"Electronic, House, Techno"
86,Terra Solis,Terra Solis,MoBlack,16:30 - 18:00,21 July,2023,Friday,Weekend 1,Afrohouse
87,Terra Solis,Terra Solis,Kasango,18:00 - 19:30,21 July,2023,Friday,Weekend 1,"Electronic, House, Techno"
88,Terra Solis,Terra Solis,Philou Louzolo,19:30 - 21:00,21 July,2023,Friday,Weekend 1,Electronic
89,Terra Solis,Terra Solis,Airrica,21:00 - 23:30,21 July,2023,Friday,Weekend 1,Techno
90,Lost Frequencies & Friends,The Library,Netsky,00:00 - 01:00,21 July,2023,Friday,Weekend 1,Drum & Bass
91,Lost Frequencies & Friends,The Library,AdamK,12:00 - 13:00,21 July,2023,Friday,Weekend 1,"Electronic, Dance"
92,Lost Frequencies & Friends,The Library,Marwan Dua,13:00 - 14:00,21 July,2023,Friday,Weekend 1,Electronic
93,Lost Frequencies & Friends,The Library,Chemical Surf,14:00 - 15:00,21 July,2023,Friday,Weekend 1,"Tech House, House"
94,Lost Frequencies & Friends,The Library,Bleu Clair,15:00 - 16:00,21 July,2023,Friday,Weekend 1,"Bass House, Tech House"
95,Lost Frequencies & Friends,The Library,Omdat Het Kan Soundsystem ft. Average Rob,16:00 - 17:00,21 July,2023,Friday,Weekend 1,"EDM, Trap"
96,Lost Frequencies & Friends,The Library,The Magician,17:00 - 18:00,21 July,2023,Friday,Weekend 1,Indie / Underground
97,Lost Frequencies & Friends,The Library,Wax Motif,18:00 - 19:00,21 July,2023,Friday,Weekend 1,Commercial Dance
98,Lost Frequencies & Friends,The Library,Marten Hørger,19:00 - 20:00,21 July,2023,Friday,Weekend 1,Commercial Dance
99,Lost Frequencies & Friends,The Library,Sonny Fodera,20:00 - 21:00,21 July,2023,Friday,Weekend 1,Traditional House
100,Rise,Rise,DJ Michelle,14:00 - 15:00,21 July,2023,Friday,Weekend 1,Commercial Dance
101,Lost Frequencies & Friends,The Library,Lost Frequencies,22:00 - 23:00,21 July,2023,Friday,Weekend 1,"Electro House, Electronica, Traditional House"
102,Lost Frequencies & Friends,The Library,Oliver Heldens,23:00 - 00:00,21 July,2023,Friday,Weekend 1,"Electro House, Electronica, Techno"
103,Burenhinder,The Rave Cave,Lexi,13:00 - 14:30,21 July,2023,Friday,Weekend 1,"Techno, House"
104,Burenhinder,The Rave Cave,Jane Muss,14:30 - 16:00,21 July,2023,Friday,Weekend 1,Electronic
105,Burenhinder,The Rave Cave,Jazie,16:00 - 17:00,21 July,2023,Friday,Weekend 1,"Hip Hop, Rap"
106,Burenhinder,The Rave Cave,Stella K,17:00 - 18:00,21 July,2023,Friday,Weekend 1,"Pop, R&B"
107,Burenhinder,The Rave Cave,Myu:sa,18:00 - 19:00,21 July,2023,Friday,Weekend 1,"House, Techno"
108,Burenhinder,The Rave Cave,LOLITA,19:00 - 20:00,21 July,2023,Friday,Weekend 1,Commercial Dance
109,Burenhinder,The Rave Cave,Waltur,20:00 - 21:00,21 July,2023,Friday,Weekend 1,"Techno, House"
110,Burenhinder,The Rave Cave,Instar,21:00 - 22:00,21 July,2023,Friday,Weekend 1,"Trance, Progressive House"
111,Burenhinder,The Rave Cave,Gitzwart,22:00 - 23:00,21 July,2023,Friday,Weekend 1,"Techno, House"
112,Burenhinder,The Rave Cave,Burenhinder b4b,23:00 - 00:00,21 July,2023,Friday,Weekend 1,"Hardcore, Hardstyle"
113,Rampage,The Rose Garden,Maze,12:00 - 13:30,21 July,2023,Friday,Weekend 1,Drum & Bass
114,Rampage,The Rose Garden,Monrroe & Duskee,13:30 - 15:00,21 July,2023,Friday,Weekend 1,Drum & Bass
115,Rampage,The Rose Garden,A Little Sound,15:00 - 16:00,21 July,2023,Friday,Weekend 1,"Trance, Psy-Trance"
116,Rampage,The Rose Garden,Dr Ushuu B2B Ivory,16:00 - 17:00,21 July,2023,Friday,Weekend 1,"Dubstep, Bass Music"
117,Rampage,The Rose Garden,Grafix,17:00 - 18:00,21 July,2023,Friday,Weekend 1,Drum & Bass
118,Rampage,The Rose Garden,Hazard,18:00 - 19:00,21 July,2023,Friday,Weekend 1,Commercial Dance
119,Rampage,The Rose Garden,Murdock,19:00 - 20:00,21 July,2023,Friday,Weekend 1,Drum & Bass
120,Rampage,The Rose Garden,SVDDEN DEATH,20:00 - 21:00,21 July,2023,Friday,Weekend 1,Dubstep
121,Rampage,The Rose Garden,USED,21:00 - 22:00,21 July,2023,Friday,Weekend 1,"Hardstyle, Rawstyle"
122,Rampage,The Rose Garden,Funtcase,22:00 - 23:00,21 July,2023,Friday,Weekend 1,Commercial Dance
123,Rampage,The Rose Garden,Macky Gee,23:00 - 00:00,21 July,2023,Friday,Weekend 1,Drum & Bass
124,Sub Zero Project – Psychodelic,Youphoria,Demi Kanon,12:30 - 14:00,21 July,2023,Friday,Weekend 1,Hardstyle
125,Lost Frequencies & Friends,The Library,Acraze,21:00 - 22:00,21 July,2023,Friday,Weekend 1,Dubstep
126,Sub Zero Project – Psychodelic,Youphoria,Devin Wild,15:30 - 16:30,21 July,2023,Friday,Weekend 1,Hard Dance
127,Sub Zero Project – Psychodelic,Youphoria,Coone,16:30 - 17:30,21 July,2023,Friday,Weekend 1,Hard Dance
128,Sub Zero Project – Psychodelic,Youphoria,TNT,17:30 - 18:30,21 July,2023,Friday,Weekend 1,Hard Dance
129,Sub Zero Project – Psychodelic,Youphoria,Sub Zero Project,18:30 - 19:30,21 July,2023,Friday,Weekend 1,"Hard Dance, Hardcore Techno, Psychedelic Trance"
130,Sub Zero Project – Psychodelic,Youphoria,Ben Nicky presents Xtreme,19:30 - 20:30,21 July,2023,Friday,Weekend 1,"Trance, Hardstyle"
131,Sub Zero Project – Psychodelic,Youphoria,Hard Driver,20:30 - 21:30,21 July,2023,Friday,Weekend 1,Hard Dance
132,Sub Zero Project – Psychodelic,Youphoria,Warface,21:30 - 22:30,21 July,2023,Friday,Weekend 1,"Dubstep, Electronica, Hard Dance, Hardcore Techno, Techno"
133,Sub Zero Project – Psychodelic,Youphoria,Sickmode,22:30 - 23:30,21 July,2023,Friday,Weekend 1,Hardcore
134,Sub Zero Project – Psychodelic,Youphoria,D-Sturb,23:30 - 00:50,21 July,2023,Friday,Weekend 1,Hard Dance
135,Atmosphere,Atmosphere,Lukas Firtzer,12:00 - 14:00,22 July,2023,Saturday,Weekend 1,Techno
136,Atmosphere,Atmosphere,Neon Shadow,14:00 - 16:00,22 July,2023,Saturday,Weekend 1,Electronic
137,Atmosphere,Atmosphere,Symphony of Unity,16:00 - 17:30,22 July,2023,Saturday,Weekend 1,"Classical, Orchestral"
138,Atmosphere,Atmosphere,Ramon Tapia,17:30 - 19:30,22 July,2023,Saturday,Weekend 1,"Tech House, Techno"
139,Atmosphere,Atmosphere,Klaudia Gawlas,19:30 - 21:30,22 July,2023,Saturday,Weekend 1,"Electronic, Techno"
140,Atmosphere,Atmosphere,Indira Paganotto,21:30 - 23:30,22 July,2023,Saturday,Weekend 1,Techno
141,Atmosphere,Atmosphere,Reinier Zonneveld,23:30 - 01:00,22 July,2023,Saturday,Weekend 1,Techno
142,Footworxx,Cage,Revenja,12:00 - 13:00,22 July,2023,Saturday,Weekend 1,Hardstyle
143,Footworxx,Cage,Dark Phoenix,13:00 - 14:00,22 July,2023,Saturday,Weekend 1,Hardstyle
144,Footworxx,Cage,Cryex,14:00 - 15:00,22 July,2023,Saturday,Weekend 1,Hardstyle
145,Footworxx,Cage,Killshot,15:00 - 16:00,22 July,2023,Saturday,Weekend 1,Hardstyle
146,Footworxx,Cage,Mad Dog,16:00 - 17:00,22 July,2023,Saturday,Weekend 1,Hardcore
147,Footworxx,Cage,Sakyra,17:00 - 18:00,22 July,2023,Saturday,Weekend 1,Hardcore
148,Footworxx,Cage,Sandy Warez vs The Mind Destiny,18:00 - 19:00,22 July,2023,Saturday,Weekend 1,Techno
149,Footworxx,Cage,Neko vs Maissouille,19:00 - 20:00,22 July,2023,Saturday,Weekend 1,Frenchcore
150,Sub Zero Project – Psychodelic,Youphoria,Boray,14:00 - 15:30,21 July,2023,Friday,Weekend 1,Techno
151,Footworxx,Cage,Estasia,21:00 - 22:00,22 July,2023,Saturday,Weekend 1,Hardstyle
152,Footworxx,Cage,Republic,22:00 - 23:00,22 July,2023,Saturday,Weekend 1,Trance
153,CORE presents ZAMNA,Core,Unruly Phoenix,12:30 - 14:30,22 July,2023,Saturday,Weekend 1,"Electronic, Techno"
154,CORE presents ZAMNA,Core,Human Rias,14:30 - 16:00,22 July,2023,Saturday,Weekend 1,Electronic
155,CORE presents ZAMNA,Core,Elif,16:00 - 17:30,22 July,2023,Saturday,Weekend 1,"Pop, R&B, Soul"
156,CORE presents ZAMNA,Core,Armonica,17:30 - 19:00,22 July,2023,Saturday,Weekend 1,Electronic
157,CORE presents ZAMNA,Core,Oostil b2b The Element,19:00 - 21:00,22 July,2023,Saturday,Weekend 1,Melodic Techno
158,CORE presents ZAMNA,Core,Brina Knauss,21:00 - 23:00,22 July,2023,Saturday,Weekend 1,Techno
159,CORE presents ZAMNA,Core,&ME,23:00 - 01:00,22 July,2023,Saturday,Weekend 1,Commercial Dance
160,Crystal Garden,Crystal Garden,Ben Malone,12:30 - 14:00,22 July,2023,Saturday,Weekend 1,"Electronic, Dance, House"
161,Crystal Garden,Crystal Garden,Sem Thomasson,14:00 - 15:00,22 July,2023,Saturday,Weekend 1,Progressive House
162,Crystal Garden,Crystal Garden,Chico Rose,15:00 - 16:00,22 July,2023,Saturday,Weekend 1,Future House
163,Crystal Garden,Crystal Garden,Double Pleasure,16:00 - 17:00,22 July,2023,Saturday,Weekend 1,House
164,Crystal Garden,Crystal Garden,Kapuchon,17:00 - 18:30,22 July,2023,Saturday,Weekend 1,Techno
165,Crystal Garden,Crystal Garden,Kryder & B Jones,18:30 - 19:30,22 July,2023,Saturday,Weekend 1,House
166,Crystal Garden,Crystal Garden,Jengi,19:30 - 20:30,22 July,2023,Saturday,Weekend 1,Electronic
167,Crystal Garden,Crystal Garden,Sunnery James & Ryan Marciano present Amazone Project,20:30 - 22:00,22 July,2023,Saturday,Weekend 1,House
168,Crystal Garden,Crystal Garden,Öwnboss,22:00 - 23:00,22 July,2023,Saturday,Weekend 1,Electronic Dance Music (EDM)
169,Lonely at the Tap by FeestDJRuud,Elixir,Ruthless,00:00 - 01:00,22 July,2023,Saturday,Weekend 1,Hardcore Techno
170,Lonely at the Tap by FeestDJRuud,Elixir,Bennie Disko,13:00 - 14:30,22 July,2023,Saturday,Weekend 1,"Dutch House, Moombahton"
171,Lonely at the Tap by FeestDJRuud,Elixir,Raywell,14:30 - 16:00,22 July,2023,Saturday,Weekend 1,Techno
172,Lonely at the Tap by FeestDJRuud,Elixir,Disco Danny,16:00 - 17:30,22 July,2023,Saturday,Weekend 1,"Disco, House"
173,Lonely at the Tap by FeestDJRuud,Elixir,Otto Wunderbar,17:30 - 18:00,22 July,2023,Saturday,Weekend 1,"Dutch House,"
174,Lonely at the Tap by FeestDJRuud,Elixir,FeestDJRuud,18:00 - 19:30,22 July,2023,Saturday,Weekend 1,"Dutch House, Moombahton"
175,Footworxx,Cage,Remzcore,20:00 - 21:00,22 July,2023,Saturday,Weekend 1,Hardcore Techno
176,Lonely at the Tap by FeestDJRuud,Elixir,Raywell & Ron Simpson,20:00 - 21:00,22 July,2023,Saturday,Weekend 1,Techno
177,Lonely at the Tap by FeestDJRuud,Elixir,Lady Bee,21:00 - 22:00,22 July,2023,Saturday,Weekend 1,"Moombahton, Trap"
178,Lonely at the Tap by FeestDJRuud,Elixir,Trobi,22:00 - 23:00,22 July,2023,Saturday,Weekend 1,Tropical House
179,Lonely at the Tap by FeestDJRuud,Elixir,Afro Bros,23:00 - 00:00,22 July,2023,Saturday,Weekend 1,"Moombahton, Latin House"
180,Afterlife,Freedom,Axel Haube,12:00 - 13:30,22 July,2023,Saturday,Weekend 1,"Techno, Minimal Techno"
181,Afterlife,Freedom,8Kays,13:30 - 15:00,22 July,2023,Saturday,Weekend 1,"Progressive House, Melodic House & Techno"
182,Afterlife,Freedom,Colyn,15:00 - 16:30,22 July,2023,Saturday,Weekend 1,Melodic House & Techno
183,Afterlife,Freedom,Kevin De Vries,16:30 - 18:00,22 July,2023,Saturday,Weekend 1,"Techno, Tech Trance"
184,Afterlife,Freedom,Camelphat,18:00 - 19:30,22 July,2023,Saturday,Weekend 1,"Electronica, Tech House, Traditional House"
185,Afterlife,Freedom,Anyma,19:30 - 21:00,22 July,2023,Saturday,Weekend 1,"Melodic House & Techno, Progressive House"
186,Afterlife,Freedom,Adriatique,21:00 - 22:30,22 July,2023,Saturday,Weekend 1,"Electronica, Tech House, Techno"
187,Afterlife,Freedom,Tale Of Us,22:30 - 00:30,22 July,2023,Saturday,Weekend 1,Tech House
188,Mainstage,Mainstage,Daybreak session: Laidback Luke presents Wayback Luke,12:00 - 14:45,22 July,2023,Saturday,Weekend 1,House
189,Mainstage,Mainstage,Warrior Workout by Q-dance,14:45 - 15:15,22 July,2023,Saturday,Weekend 1,Hardstyle
190,Mainstage,Mainstage,220 Kid,15:15 - 16:15,22 July,2023,Saturday,Weekend 1,"Electronic, Dance, Pop"
191,Mainstage,Mainstage,Lilly Palmer,16:15 - 17:15,22 July,2023,Saturday,Weekend 1,"Electronic, Techno"
192,Mainstage,Mainstage,GORDO,17:20 - 18:20,22 July,2023,Saturday,Weekend 1,Techno
193,Mainstage,Mainstage,James Hype,18:25 - 19:25,22 July,2023,Saturday,Weekend 1,House
194,Mainstage,Mainstage,Amber Broos,19:25 - 20:25,22 July,2023,Saturday,Weekend 1,Techno
195,Mainstage,Mainstage,ALOK,20:25 - 21:25,22 July,2023,Saturday,Weekend 1,Commercial Dance
196,Mainstage,Mainstage,AFROJACK,21:30 - 22:30,22 July,2023,Saturday,Weekend 1,"Electro House, Progressive House"
197,Mainstage,Mainstage,Dimitri Vegas & Like Mike,22:35 - 23:50,22 July,2023,Saturday,Weekend 1,Electro House
198,Mainstage,Mainstage,Alesso,23:50 - 00:50,22 July,2023,Saturday,Weekend 1,Progressive House
199,Moosebar,Moosebar,Thierry Vonderwarth b2b Jan V,12:00 - 19:00,22 July,2023,Saturday,Weekend 1,Techno
200,Lonely at the Tap by FeestDJRuud,Elixir,Gullie,19:30 - 20:00,22 July,2023,Saturday,Weekend 1,"Dutch House, Moombahton"
201,Moosebar,Moosebar,Jeroen Visser,20:00 - 00:00,22 July,2023,Saturday,Weekend 1,"Electronic, Dance, House"
202,Glitterbox,Rise,DJ Tibo,12:30 - 13:30,22 July,2023,Saturday,Weekend 1,"Electronic, House"
203,Glitterbox,Rise,sc.REBEL!?,13:30 - 14:30,22 July,2023,Saturday,Weekend 1,"Electronic, House"
204,Glitterbox,Rise,Dolores,14:30 - 15:30,22 July,2023,Saturday,Weekend 1,"Electronic, House"
205,Glitterbox,Rise,CHASE,15:30 - 16:30,22 July,2023,Saturday,Weekend 1,"Electronic, House"
206,Glitterbox,Rise,NNIF,16:30 - 17:30,22 July,2023,Saturday,Weekend 1,"Electronic, House"
207,Glitterbox,Rise,Frederico Gardenghi,17:30 - 18:30,22 July,2023,Saturday,Weekend 1,"Electronic, House"
208,Glitterbox,Rise,Sophie Lloyd,18:30 - 19:30,22 July,2023,Saturday,Weekend 1,"Electronic, House"
209,Glitterbox,Rise,Todd Terry,19:30 - 21:30,22 July,2023,Saturday,Weekend 1,Traditional House
210,Glitterbox,Rise,Groove Armada,21:00 - 22:30,22 July,2023,Saturday,Weekend 1,"Electronica, Traditional House"
211,Glitterbox,Rise,Mousse T.,22:30 - 23:50,22 July,2023,Saturday,Weekend 1,Electro House
212,Terra Solis,Terra Solis,Charlotte de Cock,12:30 - 14:30,22 July,2023,Saturday,Weekend 1,Techno
213,Terra Solis,Terra Solis,Capoon,14:30 - 16:30,22 July,2023,Saturday,Weekend 1,Techno
214,Terra Solis,Terra Solis,Francesca Lombardo,16:30 - 18:30,22 July,2023,Saturday,Weekend 1,Tech House
215,Terra Solis,Terra Solis,Amémé,18:30 - 20:30,22 July,2023,Saturday,Weekend 1,"House, Techno"
216,Terra Solis,Terra Solis,Bedouin,20:30 - 23:30,22 July,2023,Saturday,Weekend 1,Commercial Dance
217,STMPD RCRDS x Tomorrowland Music,The Library,Peter Luts,12:00 - 13:00,22 July,2023,Saturday,Weekend 1,Commercial Dance
218,STMPD RCRDS x Tomorrowland Music,The Library,Fancy Inc,13:00 - 14:00,22 July,2023,Saturday,Weekend 1,Tech House
219,STMPD RCRDS x Tomorrowland Music,The Library,Sentinel,14:00 - 15:00,22 July,2023,Saturday,Weekend 1,"Electronic, Techno"
220,STMPD RCRDS x Tomorrowland Music,The Library,Goodboys,15:00 - 16:00,22 July,2023,Saturday,Weekend 1,House
221,STMPD RCRDS x Tomorrowland Music,The Library,Matisse & Sadko,16:00 - 18:30,22 July,2023,Saturday,Weekend 1,Progressive House
222,STMPD RCRDS x Tomorrowland Music,The Library,Julian Jordan,18:30 - 19:30,22 July,2023,Saturday,Weekend 1,Electro House
223,STMPD RCRDS x Tomorrowland Music,The Library,Dubvision,19:30 - 20:30,22 July,2023,Saturday,Weekend 1,"Electro House, Progressive House, Traditional House"
224,STMPD RCRDS x Tomorrowland Music,The Library,Joseph Capriati,20:30 - 21:30,22 July,2023,Saturday,Weekend 1,"Traditional House, Techno"
225,Moosebar,Moosebar,Bromeo's,19:00 - 20:00,22 July,2023,Saturday,Weekend 1,"Electronic, Dance"
226,STMPD RCRDS x Tomorrowland Music,The Library,Martin Garrix and Friends,23:30 - 01:00,22 July,2023,Saturday,Weekend 1,"Electronic, Dance, House"
