Artist,Year,Genre
Martin Solveig,2008,Electro House
John Dahlbäck,2008,"Electro House, Progressive House"
The Subs,2008,Commercial Dance
The Glimmers,2008,Electro House
Ida Engberg,2008,Techno
Monica Electronica,2008,Unknown
Winner DJ contest,2008,Unknown
DJ Rush,2008,Unknown
Marco Remus,2008,Commercial Dance
DJ Ghost,2008,"Hard Trance, Techno"
Manu Kenton,2008,Unknown
Q-IC,2008,Unknown
Max Walder,2008,Unknown
Ellen Allien,2008,Techno
Paul Kalkbrenner,2008,Techno
Sascha Funke,2008,Traditional House
Thomas Andersson,2008,Unknown
Thomas Muller,2008,Commercial Dance
Dave Ellesmere,2008,Unknown
Kenny Dope,2008,Traditional House
Very special guest,2008,Unknown
Simon Dunmore,2008,Unknown
Copyright,2008,Traditional House
Yamo,2008,"Electronic, Experimental"
Dave Lambert,2008,Traditional House
Andy Moor,2008,Trance
Gareth Emery,2008,Trance
Miikha Kuisma,2008,Unknown
Yves De Ruyter,2008,Unknown
Airwave,2008,"Progressive House, Psychedelic Trance"
Capetown,2008,Unknown
Fire,2008,Blues
DJ Elof,2008,Unknown
Yahel,2008,Trance
Astral Projection,2008,"Psychedelic Trance, Trance"
GMS,2008,"Chill Out, Trance"
Norion,2008,Unknown
Firaga,2008,Psytrance
Euphoria,2008,Unknown
Zander VT,2008,Unknown
Soundweapon aka Fresh & MC Ivory,2008,Unknown
Simon Bassline Smith & Youngman Mc,2008,Unknown
One87 & DMC,2008,Unknown
TLP,2008,Unknown
Nymfo,2008,Drum & Bass
Murdock,2008,Drum & Bass
D Convict,2008,Unknown
Armin Van Buuren,2008,Trance
David Guetta,2008,Electro House
Carl Cox,2008,"Tech House, Techno"
Dr. Lektroluv,2008,Unknown
Felix Da Housecat,2008,Traditional House
Yves-V,2008,Unknown
Brian-V,2008,Unknown
Winner DJ contest,2008,Unknown
Fausto,2008,Hard Dance
IVan Smagghe,2008,Electro House
Mason,2008,"Hip-Hop, Trap, Future Bass"
Para One,2008,Commercial Dance
Les Petits Pilous,2008,Commercial Dance
Teenage Bad Girl,2008,Commercial Dance
Housemeister,2008,Commercial Dance
Shadowdancer,2008,Unknown
Ramon Tapia aka El Carlitto,2008,Unknown
Brian G & MC Fearless,2008,Unknown
Markus Schulz,2008,"Progressive House, Trance"
PUSH,2008,"Trance, Progressive House"
Deadmau5,2008,"Electro House, Progressive House"
Menno De Jong,2008,Trance
Fred Baker,2008,"Techno, Trance"
Fred Nova,2008,Unknown
Chris Liebing,2008,Techno
British Murder Boys,2008,Unknown
Claude Young,2008,Commercial Dance
Steve Bug,2008,"Tech House, Techno"
DJ Pierre,2008,House
Spacid,2008,Unknown
Kr!z,2008,Unknown
Fedde Le Grand,2008,Progressive House
Joachim Gerraud,2008,Unknown
Funkerman,2008,Progressive House
Dave Lambert,2008,Traditional House
Tom leclerq,2008,Unknown
B,2008,Commercial Dance
Gui Borrato,2008,Unknown
Wighnomy Bros,2008,Unknown
Superpitcher,2008,Techno
Tobias thomas,2008,Unknown
Jennifer cardini,2008,Commercial Dance
Above & Beyond,2008,Trance
Geo,2008,"Synthpop, Trip Hop, Uk Garage"
Morse Inspectors,2008,Unknown
Discobar Galaxie,2008,Unknown
Mystique & Davidov,2008,Unknown
TiNo & Raoul,2008,Unknown
RedD,2008,Commercial Dance
Guy Ohm,2008,Unknown
Sasha,2008,"Tech House, Techno"
Dubfire,2008,Techno
Loco Dice,2008,"Tech House, Techno"
Dominik Eulberg,2008,Electro House
Smos & Baby Bee,2008,Unknown
Prinz,2008,Techno
Patrick Schmidt vs Bartholomeo,2008,Unknown
Zany,2008,Hardcore Techno
The Prophet,2008,Hardcore Techno
Showtek,2008,Hardcore Techno
Coone,2008,Hard Dance
Headhunterz & Wildstylez,2008,Unknown
The Viper,2008,Band
Deepack,2008,Hardcore Techno
Josh & Wesz,2008,Unknown
Max Enforcer & Balistic,2008,Unknown
Navid tahernia,2008,Unknown
