Artist,Year,Genre
Dimitri Vegas & Like Mike vs Yves V,2012,Unknown
Electric Bastards,2012,Unknown
RooC Audio,2012,Unknown
Jerry May,2012,Tech House
Heet Van de Naald,2012,Unknown
DJaxx & Neurotique,2012,Unknown
Laston & Geo,2012,Unknown
Girafe Sauvage DJ: Redhead vs Tom Hades vs Sören Aalberg,2012,Unknown
The Oddword,2012,Unknown
Prinz,2012,Techno
Trash Radio,2012,Unknown
Phil Monday,2012,Unknown
Prinz,2012,Techno
Massimo Girardi,2012,Commercial Dance
Hermanez,2012,Tech House
Ultrasone,2012,Unknown
Maceo Plex,2012,Tech House
Guy Gerber,2012,"Tech House, Techno"
Joris Voorn,2012,"Tech House, Techno"
Jamie Jones,2012,Tech House
Jon Rundell,2012,Techno
Nicole Moudaber,2012,Tech House
Yousef,2012,Traditional House
John Digweed,2012,"Tech House, Techno"
Marco Carola,2012,Techno
Cristian Varela vs Marco Bailey,2012,Unknown
UMEK,2012,"Tech House, Techno"
Carl Cox,2012,"Tech House, Techno"
Dave Lambert,2012,Traditional House
Rebecca & Fiona,2012,Progressive House
Qulinez,2012,Unknown
Cazzette,2012,Electro House
Thomas Gold,2012,Progressive House
Alesso,2012,Progressive House
Fatboy Slim,2012,"Electronica, Traditional House"
Aeroplane,2012,Commercial Dance
Bloody Beetroots DJ set,2012,Unknown
Gave,2012,Rock
Dr. Phunk,2012,Unknown
Davoodi vs Bestien,2012,Unknown
Demoniak,2012,Unknown
DJ Ghost,2012,"Hard Trance, Techno"
The Pitcher,2012,Unknown
Mark with a K,2012,Hard Dance
Brennan Heart,2012,Hard Dance
Zany,2012,Hardcore Techno
The Prophet,2012,Hardcore Techno
"DJ P-Jay, DJ Vox-D, DJ Barto, DJ Luk",2012,Unknown
Jean de Gand,2012,Unknown
"DJ P-Jay, DJ Vox-D, DJ Barto, DJ Luk",2012,Unknown
Dimitri Wouters,2012,House
Deve & Matizz,2012,Unknown
"DJ P-Jay, DJ Vox-D, DJ Barto, DJ Luk",2012,Unknown
Zeds Dead,2012,Dubstep
Rave Our Souls,2012,Unknown
Eptic,2012,Dubstep
D.O.D.,2012,"Electro House, Dubstep"
Faisal,2012,Unknown
Synsun,2012,Trance
KooDoo vs La Maz,2012,Unknown
Avicii,2012,Unknown
Jidax,2012,Unknown
Tom Leclercq,2012,Unknown
Daily,2012,Unknown
"Red D feat. Lady Linn, Gustaph & Saxman",2012,Unknown
Dan Sena,2012,Unknown
DJ Rush (House Set),2012,Unknown
YAMO,2012,"Electronic, Experimental"
Nitrous Oxide,2012,Trance
Dizkodude,2012,Unknown
Albin Myers,2012,"Electro House, Progressive House"
South Central,2012,"Electro House, Electronica"
Tom de Neef,2012,Traditional House
J. Fernandes,2012,Unknown
Goldfox,2012,"Electronic, Dance"
Jonas Lion,2012,Unknown
Norion,2012,Unknown
PeaceTreaty,2012,Unknown
Boom Jinx,2012,"Progressive House, Trance"
Reygel & Peri,2012,Unknown
Licious,2012,Traditional House
Clockwork,2012,Traditional House
Locked Groove,2012,"Techno, Traditional House"
