Artist,Year,Genre
Afrojack,2019,"Electro House, Progressive House"
Dzeager,2019,Unknown
Fabio Marcs,2019,"Electronic, Dance, House"
JackJazz,2019,Unknown
Hermanos,2019,Unknown
Prinz,2019,Techno
Flashback Force,2019,Unknown
Mademoiselle Luna,2019,House
Maori,2019,Unknown
Hiddn,2019,Unknown
Double Pleasure,2019,House
Romeo Blanco,2019,Commercial Dance
Henri PFR,2019,"Commercial Dance, Electronica, Traditional House"
Regi vs Yves V,2019,Unknown
Lost Frequencies,2019,"Electro House, Electronica, Traditional House"
Downside,2019,Unknown
Pierre,2019,Traditional House
Cellini,2019,Techno
Pan-Pot,2019,"Minimal, Techno"
Dave Clarke,2019,"Electro House, Techno"
Rødhåd,2019,"Minimal, Techno"
Spacid,2019,Unknown
Linear Straight,2019,Unknown
999999999,2019,Techno
Fjaak,2019,Techno
Headstrong,2019,Unknown
Tommy Four Seven,2019,Minimal
Dax J,2019,"Drum & Bass, Techno"
Bjeor,2019,Unknown
Mona Lee,2019,Unknown
Maxim Lany,2019,"House, Deep House"
Red D ft. Lady Linn,2019,Unknown
San Soda,2019,Commercial Dance
Pete Howl,2019,Unknown
Raw District,2019,Unknown
Audiojack,2019,Tech House
Brina Knauss,2019,Techno
Virgil Abloh,2019,"Hip-Hop, Grime"
Ae:ther,2019,Unknown
Guy Gerber,2019,"Tech House, Techno"
Bedouin,2019,Commercial Dance
Damian Lazarus,2019,"Tech House, Techno"
Chris Liebing,2019,Techno
Surfing Leons,2019,Unknown
Yotto,2019,"Progressive House, Traditional House"
Cristoph,2019,Unknown
Camelphat,2019,"Electronica, Tech House, Traditional House"
Tiga,2019,"Electro House, Indie / Underground"
Eric Prydz,2019,Progressive House
Notoir,2019,Unknown
Moscoman,2019,Techno
Magit Cacoon,2019,"Deep House, Techno, Techno"
Kollektiv Turmstrasse,2019,Tech House
Adriatique,2019,"Electronica, Tech House, Techno"
Solomun,2019,Tech House
Undercatt,2019,"Chill Out, Techno"
Fabio Marcs,2019,"Electronic, Dance, House"
Rakesh aka Blackjack9000,2019,House
Crack-T,2019,"Electronic, Dance, House"
UNEAK ft. COSMIC,2019,Unknown
B-KAY,2019,"Electronic, Dance, House"
Tach Cremer & Luna Fino,2019,Unknown
Zfilio & Tim G,2019,Unknown
Seelen & Cemode,2019,Unknown
DJ Licious & Delafino,2019,Unknown
Chocolate Puma,2019,Traditional House
Disco Dasco,2019,"Electronic, House"
Neon,2019,Electronic
Kolombo,2019,Commercial Dance
Roma,2019,"Electronic, Dance"
Konstantin Sibold,2019,Unknown
Mia More,2019,Unknown
Chus & Ceballos,2019,Traditional House
Bruno Martini,2019,"Commercial Dance, House"
Double Pleasure,2019,House
Lucas & Steve,2019,"Commercial Dance, Hard Dance, Traditional House"
Sam Feldt,2019,Traditional House
Sunnery James & Ryan Marciano,2019,Electro House
The Magician,2019,Indie / Underground
Benny Benassi,2019,Electro House
Hermanez,2019,Tech House
Sebastien Leger,2019,Tech House
Guy J,2019,"Tech House, Techno"
Guy Mantzur,2019,Techno
Roy Rosenfeld,2019,"Tech House, Techno"
Eauxmar b2b Osrin,2019,Unknown
Todd Helder b2b CMC$,2019,Unknown
Infuze,2019,Commercial Dance
Bart B more,2019,Electro House
Blinders b2b TV Noise,2019,Unknown
Dubvision b2b Raiden,2019,Unknown
Brooks b2b Julian Jordan,2019,Unknown
Alec & Philip,2019,Unknown
Vintage Culture,2019,"Commercial Dance, Electro House, Electronica, Traditional House"
Louis The Child,2019,Future Beats
Salvatore Ganacci,2019,"Electro House, Big Room, Pop House"
Bebe Rexha,2019,Electropop
Martin Garrix,2019,Electro House
15Y Spectacle,2019,Unknown
Carl Cox,2019,"Tech House, Techno"
Amelie Lens,2019,"Electronica, Techno, Trance"
Hugel,2019,Big Room House
DJ Diesel,2019,"Electronic, Dance"
ALOK,2019,Commercial Dance
Oliver Heldens,2019,"Electro House, Electronica, Techno"
Black Coffee,2019,"Funk / R&B, Traditional House"
Don Diablo,2019,Progressive House
Steve Aoki,2019,"Electro House, Indie / Underground"
Tiesto,2019,"Commercial Dance, Big Room"
The Chainsmokers,2019,Commercial Dance
DJ Mr. E,2019,Unknown
Surprise,2019,Unknown
Feest DJ Lucki Luc,2019,"Dance, Party"
De Romeo's,2019,Unknown
Feest DJ Lucki Luc,2019,"Dance, Party"
Thierry von der Warth,2019,Unknown
Villain,2019,Hard Dance
Dyro b2b Loopers,2019,Unknown
Refuzion,2019,Hard Dance
Primeshock,2019,Unknown
Sound Rush,2019,Hardstyle
Wildstylez,2019,Hard Dance
Sub Zero Project,2019,"Hard Dance, Hardcore Techno, Psychedelic Trance"
Frequencerz,2019,Hard Dance
Hard Driver,2019,Hard Dance
B-Front,2019,Hardcore Techno
Evil Activities,2019,Hardcore Techno
Krankenhaus Selektion,2019,Unknown
Sixsixsixties,2019,Unknown
Kimman,2019,Unknown
Locked Groove,2019,"Techno, Traditional House"
Pelace,2019,Unknown
Jeroen Delodder,2019,"Electronic, Dance, House"
Kaiserr,2019,Unknown
Captain Flash,2019,Unknown
Davis,2019,Country
Justin OH,2019,"Electro House, Progressive House, Trance"
Conro,2019,Unknown
DROELOE,2019,"Commercial Dance, Drum & Bass, Electronica"
Gammer,2019,Hardcore Techno
Pegboard Nerds b2b Tokyo Machine,2019,Unknown
Modestep,2019,Dubstep
Jay Reeve,2019,Unknown
Slushii,2019,"Dubstep, Electro House, Electronica, Progressive House, Trap"
NGHTMRE & SLANDER Present: Gud Vibrations,2019,Unknown
Zeds Dead,2019,Dubstep
Seven Lions,2019,Dubstep
Amber Stomp,2019,Unknown
Josep,2019,Guitar
Tinlicker,2019,"Progressive House, Techno"
Genix,2019,Trance
Oliver Smith,2019,"Progressive House, Trance"
Grum,2019,"Progressive House, Electro House, Tech House"
Spencer Brown,2019,Progressive House
Andrew Bayer,2019,"Progressive House, Techno"
Ilan Bluestone,2019,"Dubstep, Trance"
Gabriel & Dresden,2019,"Progressive House, Trance"
Above & Beyond,2019,Trance
Axel Haube,2019,"Techno, Minimal Techno"
VNTM,2019,Unknown
Kevin De Vries,2019,"Techno, Tech Trance"
Agents Of Time,2019,"Electronica, Progressive House, Tech House, Techno"
Mind Against,2019,Commercial Dance
Special Guest,2019,Unknown
Stephan Bodzin,2019,"Electro House, Techno"
Tale Of Us,2019,Tech House
Sheridan,2019,Commercial Dance
Seven Lions b2b Kill The Noise,2019,Unknown
Simon Dunmore,2019,Unknown
The Shapeshifters,2019,Unknown
Roger Sanchez,2019,Traditional House
Junior Jack,2019,Traditional House
Pirrès,2019,Unknown
Paramida,2019,"Italo, Disco House, Tech House"
Thang,2019,Psychedelic Trance
A Local Hero b2b Bafana,2019,Unknown
TITIA,2019,"Epr, Ambient"
Reygel & Peri,2019,Unknown
Rebūke,2019,Unknown
Nico Morano,2019,"House, Techno"
Catz 'n Dogz,2019,Traditional House
Robag Whrume,2019,Unknown
wAFF,2019,Commercial Dance
Claude VonStroke,2019,"Tech House, Techno"
Solardo,2019,"Electro House, Tech House, Traditional House"
Chris Bekker,2019,Unknown
Paul Thomas,2019,Traditional House
Will Atkinson,2019,Trance
Jordan Suckley,2019,Techno
Push,2019,"Trance, Progressive House"
Ben Nicky,2019,"Progressive House, Trance"
John O'Callaghan & Bryan Kearney,2019,Unknown
Melvo Baptiste,2019,Unknown
Ferry Corsten,2019,Trance
Alex M.O.R.P.H.,2019,"Electro House, Trance"
Aly & Fila,2019,Trance
Alison Wonderland,2019,Commercial Dance
DJ Moe,2019,Unknown
Hush Hefner,2019,Unknown
1991,2019,Unknown
R.O,2019,"Techno, Deep House"
Holy Goof,2019,"Electro House, Bass House"
Jauz,2019,"Drum & Bass, Dubstep, Electronica, Traditional House, Trap"
London On Da Track,2019,"Hip-Hop, Trap"
Hot Dub Time Machine,2019,"Commercial Dance, Indie Dance"
A-trak,2019,"Electro House, Indie / Underground"
Young Thug,2019,Rap
Netsky,2019,Drum & Bass
Blvckprint,2019,Unknown
DRIGAO & IAMGUNZ,2019,Unknown
Bubba,2019,"Electronic, House, Techno"
Discobaar A Moeder,2019,Dance
The Knightriders,2019,"Electronic, Dance, House"
DJ Ward,2019,Unknown
Furax,2019,"Hardcore Techno, Traditional House"
Pat Krimson,2019,"Electronic, Dance"
Sven Lanvin,2019,Unknown
Paul Van Dyk,2019,Trance
Niels Van Gogh,2019,"Electro House, Progressive House"
Ward vs Starfighter,2019,Unknown
Charly Lownoise & Mental Theo,2019,Unknown
Marco Bailey,2019,"Tech House, Techno"
Deniro,2019,Unknown
Karenn,2019,Unknown
Paula Temple,2019,"Electronica, Techno"
Helena Hauff,2019,"Electronica, Tech House, Techno"
Nina Kraviz,2019,Tech House
Steve Slight,2019,Unknown
Mees Salomé,2019,Unknown
Caspar & Don Cabron,2019,Unknown
ARTBAT,2019,"Commercial Dance, Electronica"
Midnight Criminals,2019,Unknown
Hernan Cattaneo,2019,"Progressive House, Tech House"
Toolate Groove,2019,House
Mastrovita,2019,Unknown
Pretty Pink,2019,Electro House
Empra,2019,Unknown
Mr Belt & Wezol,2019,"House, Deep House, Future House"
Zonderling,2019,Commercial Dance
EDX,2019,Progressive House
Dom Dolla,2019,"Future House, Electro House, Funky House"
Nora En Pure,2019,Commercial Dance
Wout,2019,House
Tchami & Malaa,2019,Unknown
Oscar & The Wolf,2019,Unknown
Maceo Plex,2019,Tech House
