year,artist
2022,12th Planet
2022,1991
2022,5GODZ
2022,A-Trak
2022,Craze
2022,A-Trak
2022,A.M.C
2022,AC Slater
2022,Chris Lorenzo
2022,ACIDTWIINS
2022,ACRAZE
2022,ACRAZE
2022,Adam Auburn
2022,Adam Beyer
2022,Adrenalize
2022,Air2Earth
2022,Alan Walker
2022,Alesso
2022,Alexandar Smash
2022,Alix Perez
2022,Alok
2022,Aly & Fila
2022,Alyx Ander
2022,ANATTA
2022,Anderson M
2022,Andrew Rayel
2022,Anfisa Letyago
2022,AniMe
2022,Ann Clue
2022,The Archer
2022,Armin van Buuren
2022,ARMNHMR
2022,ARMNHMR
2022,Assembly
2022,ATB
2022,atDusk
2022,ATLiens
2022,Audien
2022,Audiofreq
2022,Audiofreq&Code Black&Toneshifterz
2022,Autograf
2022,Autograf
2022,Avision
2022,Baby Weight
2022,Baby Weight
2022,Baggi
2022,Bakke
2022,Bear Grillz
2022,Kompany
2022,Ben Böhmer
2022,Ben Nicky
2022,Bexxie
2022,BIJOU
2022,Habstrakt
2022,Bingewatch
2022,Biscits
2022,Black V Neck
2022,Blake Webber
2022,Blastoyz
2022,Blossom
2022,Blunts & Blondes
2022,BOMBAYS
2022,Bones
2022,Borgore
2022,Boris Brejcha
2022,Born Dirty
2022,Boston Bun
2022,Brainchild
2022,Brandon Elliot
2022,Bunny
2022,Burko
2022,Candl
2022,Capozzi
2022,Capozzi
2022,Carl Craig
2022,Carlo Key
2022,Carlo Key
2022,Cat Dealers
2022,Cats & Boots Records
2022,Chapter & Verse
2022,Chapter & Verse
2022,Charlotte de Witte
2022,Charlotte de Witte
2022,Chocolate Sushi
2022,Chris Jay
2022,Chris Lake
2022,CID
2022,CID
2022,Cloonee
2022,Cloverdale
2022,Cloverdale
2022,Coco & Breezy
2022,Coco & Breezy
2022,Colored Craig
2022,Corey Sizemore
2022,Richie Panic
2022,Cosmic Gate
2022,Craig Connelly
2022,Crime Family
2022,D!CED
2022,D-Sturb
2022,Da Tweekaz
2022,Damon Sharpe
2022,Darksiderz
2022,Darren Styles
2022,David Guetta&MORTEN
2022,Deadly Guns
2022,Deborah De Luca
2022,Deeper Purpose
2022,Definitive
2022,Replicant
2022,Delta Heavy
2022,Koven
2022,Muzz
2022,Demigod
2022,Dennis Cruz
2022,Deorro
2022,Derrick Carter
2022,Deyo
2022,Diamond Dallas Tex
2022,Diesel
2022,Dillon Francis
2022,Charles Feelgood
2022,DJ Heather
2022,DJ Holographic
2022,DJ Isaac
2022,DJ Snake
2022,Doctor P
2022,Doctor P&FuntCase
2022,Dom Dolla
2022,Dom Dolla
2022,Dot
2022,Dr Phunk
2022,Dr. Apollo
2022,Dr. Defiant
2022,Duck Sauce
2022,DVRKO
2022,Echod
2022,El Monk
2022,Eprom
2022,Eric Mark
2022,Eric Prydz
2022,€URO TRA$H
2022,Evan Giia
2022,Evol Intent
2022,Excision
2022,Excision
2022,Fallen
2022,Richter
2022,Fallen
2022,Richter
2022,Fury
2022,Nightstalker
2022,Dknow (MC Dino)
2022,MC XYZ
2022,Fantom Freq
2022,Felix Da Housecat
2022,Ferry Corsten
2022,Fester
2022,FETISH
2022,Fireworks
2022,Fireworks
2022,Fireworks
2022,Fisher
2022,FJAAK
2022,FlashGang
2022,Francis Mercier
2022,Francis Mercier
2022,Friction
2022,Kanine
2022,FrostTop
2022,RemK
2022,FuntCase
2022,Fury
2022,Nightstalker
2022,Dknow (MC Dino)
2022,G Jones
2022,Gabriel & Dresden
2022,Ganja White Night
2022,Gem & Tauri
2022,Gene Farris
2022,Gene Farris
2022,Getter
2022,Space Laces
2022,Gibson Parker
2022,Big Gigantic&NGHTMRE
2022,Giuseppe Ottaviani
2022,Golf Clap
2022,Good Times Ahead
2022,Grimes
2022,HANA
2022,HANA
2022,Harmson
