artist,recidency_club
Lost Kings,Encore Beach Club
Loud Luxury,Hakkasan
Loud Luxury,Omnia
Loud Luxury,Wet Republic
Louis The Child,Zouk Nightclub
Louis The Child,Ayu Dayclub
Ludacris,Light Nightclub
Mark Eteson,Hakkasan
Mark Eteson,Omnia
Mark Eteson,Jewel
Mark Eteson,Wet Republic
Marshmello,XS
Marshmello,Encore Beach Club
Mark Stylz,TBD
Markus Schulz,Marquee Nightclub
Markus Schulz,Marquee Dayclub
Martin Garrix,Hakkasan
Martin Garrix,Omnia
Martin Garrix,Wet Republic
The Martinez Brothers,Zouk Nightclub
The Martinez Brothers,Ayu Dayclub
Matoma,Marquee Nightclub
Matoma,Marquee Dayclub
Matroda,Liv Nightclub
Matroda,Liv Beach
Mau P,XS
Mau P,Encore Beach Club
Meduza,Encore Beach Club
Metro Boomin,Liv Nightclub
Metro Boomin,Liv Beach
Mike Attack,Marquee
Mike Attack,Tao
MK,Zouk Nightclub
MK,Ayu Dayclub
Morgan Page,Daylight Beach Club
Murda Beatz,Marquee
Murda Beatz,Tao
Murda Beatz,Hakkasan
Murda Beatz,Omnia
Mustard,Marquee Nightclub
Mustard,Marquee Dayclub
Nelly,Zouk Nightclub
Nelly,Ayu Dayclub
Nervo,Hakkasan
Nervo,Omnia
Nervo,Jewel
Nervo,Wet Republic
NGHTMRE,Hakkasan
NGHTMRE,Omnia
NGHTMRE,Wet Republic
Nicole Moudaber,XS
Nicole Moudaber,Encore Beach Club
Niiko x SWAE,Hakkasan
Niiko x SWAE,Omnia
Niiko x SWAE,Jewel
Niiko x SWAE,Wet Republic
Nicky Romero,XS
Nicky Romero,Encore Beach Club
Nora En Pure,Marquee
Nora En Pure,Tao
Omnom,Liv Nightclub
Omnom,Liv Beach
O.T. Genasis,Marquee
O.T. Genasis,Tao
O.T. Genasis,Hakkasan
O.T. Genasis,Omnia
Odesza,XS
Odesza,Encore Beach Club
Party Favor,Hakkasan
Party Favor,Omnia
Party Favor,Jewel
Party Favor,Wet Republic
Peggy Gou,Zouk Nightclub
Peggy Gou,Ayu Dayclub
Porter Robinson,Hakkasan
Porter Robinson,Omnia
Porter Robinson,Jewel
Porter Robinson,Wet Republic
Purple Disco Machine,Zouk Nightclub
Purple Disco Machine,Ayu Dayclub
Pusha T,Jewel
Pusha T,Hakkasan
Pusha T,Marquee
R3hab,Marquee Nightclub
R3hab,Marquee Dayclub
Rob Guson,Wet Republic
Robin Schulz,XS
Robin Schulz,Encore Beach Club
RL Grime,XS
RL Grime,Encore Beach Club
Ruckus,Marquee Nightclub
Ruckus,Marquee Dayclub
Rufus Du Sol,XS
Rufus Du Sol,Encore Beach Club
Salvatore Ganacci,XS
Salvatore Ganacci,Encore Beach Club
Sam Feldt,Liv Nightclub
Sam Feldt,Liv Beach
San Holo,Marquee Nightclub
San Holo,Marquee Dayclub
Sander van Doorn,TBD
SAYMYNAME,XS
SAYMYNAME,Encore Beach Club
Sebastian Ingrosso,XS
Sebastian Ingrosso,Encore Beach Club
Sidepiece,Marquee
Sidepiece,Tao
Sidepiece,Hakkasan
Sidepiece,Omnia
Sita Abellan,Zouk Nightclub
Sita Abellan,Ayu Dayclub
Skrillex,TBD
Slander,Zouk Nightclub
Slander,Ayu Dayclub
Slushii,TBD
Snoop Dogg,TBD
Sofi Tukker,XS
Sofi Tukker,Encore Beach Club
Sommer Ray,Liv Beach
Steve Angello,XS
Steve Angello,Encore Beach Club
Steve Aoki,Hakkasan
Steve Aoki,Omnia
Steve Aoki,Jewel
Steve Aoki,Wet Republic
Subtronics,XS
Subtronics,Encore Beach Club
Sullivan King,XS
Sullivan King,Encore Beach Club
Swedish House Mafia,XS
Swedish House Mafia,Encore Beach Club
Tchami,Daylight Beach Club
The Chainsmokers,XS
The Chainsmokers,Encore Beach Club
T-Pain,Zouk Nightclub
Tiesto,Omnia
Tiesto,Wet Republic
Tiesto,Tao Beach
Tiesto,Liv Nightclub
Tiesto,Liv Beach
Timmy Trumpet,Marquee
Timmy Trumpet,Tao
Timmy Trumpet,Hakkasan
Timmy Trumpet,Omnia
Tritonal,Marquee Nightclub
Tritonal,Marquee Dayclub
Troyboi,Daylight Beach Club
Tyga,Marquee
Tyga,Tao
Tyga,Hakkasan
Tyga,Omnia
Valentino Khan,XS
Valentino Khan,Encore Beach Club
Vice,Marquee Nightclub
Vice,Marquee Dayclub
Vintage Culture,Marquee
Vintage Culture,Tao
Vintage Culture,Hakkasan
Vintage Culture,Omnia
W&W,Marquee Nightclub
W&W,Marquee Dayclub
Xenaa,Marquee
Yellow Claw,TBD
Yousef,Marquee
Zedd,Omnia Nightclub
Zedd,Tao Beach
Zedd,Wet Republic
ZHU,Zouk Nightclub
ZHU,Ayu Dayclub
