year,artist
2024,1080p
2024,A Shade of Black
2024,Aaron K
2024,Abana
2024,D. Zeledon
2024,ACRAZE
2024,KREAM
2024,Adam Beyer
2024,Adam Pearce
2024,Adam X
2024,Adrenalize
2024,Wasted Penguinz
2024,Adventure Club
2024,AFROdisiac
2024,Airglo
2024,Airwolf Paradise
2024,Akaio
2024,Alchimyst
2024,Alesso
2024,Algo
2024,Alison Wonderland
2024,Alison Wonderland
2024,Aly & Fila
2024,Andrew Bayer
2024,Andrew Rayel
2024,Andruss
2024,Andruss
2024,Angerfist
2024,Arboles Pintados
2024,Argy
2024,arman.
2024,Armin van Buuren
2024,ARMNHMR
2024,ARMNHMR
2024,Assembly
2024,ATLiens
2024,Atmozfears
2024,Audiofreq
2024,Azzecca
2024,Baggi
2024,Matt Denuzzo
2024,BEC
2024,Ben Hemsley
2024,Ben Sterling
2024,Benny Benassi
2024,Bianca Oblivion
2024,Blake Webber
2024,blake.
2024,Blastoyz
2024,blklght
2024,Bones
2024,Boogie T
2024,Bou
2024,Bowie Jane
2024,Brandi Cyrus
2024,Brina Knauss
2024,Bryan Kearney
2024,Bryan Matthew
2024,Bunny
2024,Bunny
2024,Calussa
2024,Camden Cox
2024,Carl Cox
2024,Carl Cox
2024,Nicole Moudaber
2024,Caspa
2024,Cassian
2024,Castor & Pollux
2024,Cat & Maomi
2024,CELO
2024,CHAMP FRESNEL
2024,Chef Boyarbeatz
2024,Chelina Manuhutu
2024,Chibs
2024,Clawz
2024,DØMINA
2024,Codeko
2024,Crankdat
2024,Creeds
2024,Helen Ka
2024,Cristoph
2024,Crystal Skies
2024,Culture Shock
2024,D!CED
2024,D-Sturb
2024,Da Tweekaz
2024,Dabin
2024,Damon Sharpe
2024,David Guetta
2024,Daxson
2024,Dead X
2024,Levenkhan
2024,Deadly Guns
2024,deadmau5
2024,DEATH CODE
2024,Deborah De Luca
2024,Dee Jay Silver
2024,Deeper Purpose
2024,Denis Sulta
2024,Deorro
2024,Devault
2024,Devin Wild
2024,Keltek
